measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Arizona,Male,25-29 years,Years,2016,52.76370770879616,52.99000403405731,52.5199288053804
Life expectancy,Arizona,Female,25-29 years,Years,2016,57.594725800382285,57.84289466653724,57.34868307842183
Life expectancy,Arizona,Male,25-29 years,Years,2017,52.87307604842548,53.12809099567398,52.626254844487825
Life expectancy,Arizona,Female,25-29 years,Years,2017,57.816993018412944,58.06492305030336,57.588838128025266
Life expectancy,Arizona,Male,25-29 years,Years,2018,52.72561152968954,52.95366354233779,52.47714241239462
Life expectancy,Arizona,Female,25-29 years,Years,2018,57.81703915847607,58.080925231755494,57.560037254300546
Life expectancy,Arizona,Male,25-29 years,Years,2019,52.683311709518286,52.93764506588083,52.43642830788554
Life expectancy,Arizona,Female,25-29 years,Years,2019,57.918926041086394,58.17703960584893,57.64489138721293
Life expectancy,Arizona,Male,25-29 years,Years,2020,49.83701485646714,50.06252503579659,49.59608911842891
Life expectancy,Arizona,Female,25-29 years,Years,2020,55.70767292736256,55.94929994114818,55.45372366368743
Life expectancy,Arizona,Male,25-29 years,Years,2021,49.17908760099533,51.05336231196077,47.17723913289802
Life expectancy,Arizona,Female,25-29 years,Years,2021,55.26715027353876,56.94286459639366,53.68056979204118
Life expectancy,Arizona,Male,30-34 years,Years,2012,48.634150898626324,48.86607408209606,48.407709722923556
Life expectancy,Arizona,Female,30-34 years,Years,2012,52.878648406077886,53.12417454605471,52.63654159494188
Life expectancy,Arizona,Male,30-34 years,Years,2013,48.7017024180957,48.94254162945892,48.47328064426981
Life expectancy,Arizona,Female,30-34 years,Years,2013,52.94924304215653,53.18814349688646,52.7034324100952
Life expectancy,Arizona,Male,30-34 years,Years,2014,48.91265863730469,49.154529287021035,48.672707510187806
Life expectancy,Arizona,Female,30-34 years,Years,2014,52.97470790594267,53.228189888978676,52.7116515283035
Life expectancy,Arizona,Male,30-34 years,Years,2015,48.58440847236182,48.826550541602984,48.34212061184779
Life expectancy,Arizona,Female,30-34 years,Years,2015,52.91854163412964,53.16300436369804,52.64834062540806
Life expectancy,Arizona,Male,30-34 years,Years,2016,48.21459429106535,48.43682742546627,47.975300322218615
Life expectancy,Arizona,Female,30-34 years,Years,2016,52.798887481691935,53.041768113959144,52.55837466300635
Life expectancy,Arizona,Male,30-34 years,Years,2017,48.35932622954464,48.60945244735299,48.117178196812766
Life expectancy,Arizona,Female,30-34 years,Years,2017,53.02036139612254,53.26290506369313,52.797336426133334
Life expectancy,Arizona,Male,30-34 years,Years,2018,48.24599480834387,48.4694073931446,48.002604705858005
Life expectancy,Arizona,Female,30-34 years,Years,2018,53.01992448875883,53.27808088651153,52.76857015170064
Life expectancy,Arizona,Male,30-34 years,Years,2019,48.22371980337669,48.47294357539074,47.98204809882737
Life expectancy,Arizona,Female,30-34 years,Years,2019,53.114111100136085,53.36683813200815,52.845830091415756
Life expectancy,Arizona,Male,30-34 years,Years,2020,45.45460967868887,45.675938626657555,45.21828621133113
Life expectancy,Arizona,Female,30-34 years,Years,2020,50.96832369077162,51.203389285155986,50.72117399545513
Life expectancy,Arizona,Male,30-34 years,Years,2021,44.80691549384646,46.63834654410184,42.8449093597009
Life expectancy,Arizona,Female,30-34 years,Years,2021,50.52623010023819,52.16215528946888,48.97947781981927
Life expectancy,Arizona,Male,35-39 years,Years,2012,44.02663161040926,44.25460310859367,43.80389998190523
Life expectancy,Arizona,Female,35-39 years,Years,2012,48.09910243463651,48.338850498960866,47.86287739662818
Life expectancy,Arizona,Male,35-39 years,Years,2013,44.10815641321925,44.34496258573112,43.883765002525465
Life expectancy,Arizona,Female,35-39 years,Years,2013,48.16004656456554,48.39353704581286,47.91998511534086
Life expectancy,Arizona,Male,35-39 years,Years,2014,44.3180043190546,44.55565843787833,44.082165384775934
Life expectancy,Arizona,Female,35-39 years,Years,2014,48.18731819497893,48.43501180545942,47.930434271359964
Life expectancy,Arizona,Male,35-39 years,Years,2015,44.02009681316781,44.257658537115674,43.782290167560106
Life expectancy,Arizona,Female,35-39 years,Years,2015,48.15191991145623,48.39019653208886,47.888651067665585
Life expectancy,Arizona,Male,35-39 years,Years,2016,43.699584097313654,43.9173264965605,43.46527398541705
Life expectancy,Arizona,Female,35-39 years,Years,2016,48.041622089150366,48.278331276098776,47.80739232587388
Life expectancy,Arizona,Male,35-39 years,Years,2017,43.85869062165984,44.103730836138865,43.62144044245385
Life expectancy,Arizona,Female,35-39 years,Years,2017,48.25251816855343,48.488965083882675,48.03504601918394
Life expectancy,Arizona,Male,35-39 years,Years,2018,43.766028144134026,43.98462835625047,43.527923293941754
Life expectancy,Arizona,Female,35-39 years,Years,2018,48.263342847383946,48.51477882658277,48.01861180916714
Life expectancy,Arizona,Male,35-39 years,Years,2019,43.75717871775531,44.001084722717465,43.52095079550706
Life expectancy,Arizona,Female,35-39 years,Years,2019,48.36795936772942,48.61398304415416,48.10702145241662
Life expectancy,Arizona,Male,35-39 years,Years,2020,41.19483333772109,41.41278327728641,40.965064853616035
Life expectancy,Arizona,Female,35-39 years,Years,2020,46.3224817089654,46.549011731977636,46.084522302613635
Life expectancy,Arizona,Male,35-39 years,Years,2021,40.498961768900365,42.28949121336748,38.573780649271995
Life expectancy,Arizona,Female,35-39 years,Years,2021,45.84718459609209,47.435327121148276,44.34985463925426
Life expectancy,Arizona,Male,40-44 years,Years,2012,39.435091362062174,39.65782633842425,39.21721801014099
Life expectancy,Arizona,Female,40-44 years,Years,2012,43.35607076667536,43.589302986308255,43.126424044350955
